tweet_id,tweet_text,class_label
30313,And so I know that this campaign has caused some questioning and worries on the part of many leaders across the globe,No
19099,Now lets balance the budget and protect Medicare Medicaid education and the environment,No
33964,Id like to mention one thing,No
16871,I must remind him the Democrats have controlled the Congress for the last twentytwo years and they wrote all the tax bills,Yes
13150,And to take a chance uh now be and not make every effort that we could make to provide for some control over these weapons I think would be a great mistake,No
13386,Well what he is saying there in effect were going to have inflation,No
28916,Im proud of the fact that violent crime is down in the State of Texas,Yes
10612,You know you may have seen your health care premiums go up,No
22058,If were trillion down we should have everything perfect but we dont,Yes
18005,And I made some tough decisions,No
20688,I served for eight years in the House of Representatives and I served on the Intelligence Committee specialized in looking at arms control,Yes
14618,I think you know Im starting to understand it,No
32025,But when you talk about apology I think the one that you should really be apologizing for and the thing that you should be apologizing for are the emails that you deleted and that you acid washed and then the two boxes of emails and other things last week that were taken from an office and are now missing,Yes
19916,There wont be millionaires and lawyers in the cabinet,No
8355,His experience has been different from mine,No
29499,And we better be awfully careful,No
10170,Thats what we need more of Candy,No
17507,And if its rape how do you draw moral judgments on that,No
20839,And many of the public schools are meeting the call,Yes
5733,But when it comes to economic policies essentially what youre proposing is eight more years of the same thing,No
9481,And that means percent of American families percent of small businesses they will not see a tax increase,Yes
2903,So these are the ways that we can restore the strength of our country and they dont require long experience in foreign policy,No
2110,And finally Medicaid to states,No
3187,What is more moral than peace and the United States is at peace today,No
21897,They concluded that my plan would cover everybody and his would leave million behind by the year and that my plan in the next years would save trillion in public and private money to reinvest in this economy and the average family would save a year under the plan that I offered without any erosion in the quality of health care,Yes
182,What I will do is permit people to buy into Medicaid,No
26427,Because weve had tough aggressive trade policies and because weve got interest rates down,Yes
14106,On the debate I offered since both sides want the enterprise zones and we cant get together I said Ill take a few days off and go to Washington and hold hands with you and well get it done,Yes
1017,Now we will probably need to increase that to same extent,No
1072,But I do make a pledge that in the next ten days when were asking the American people to make one of the most important decisions in their lifetime because I think this election is one of the mast vital in the history of America that uh we do together what we can to stimulate voter participation,No
20158,Theyre the ones who have the challenges and they are people out there making predictions that its not going to be the same,No
14683,I really cant believe Mr Bush is still trying to make trust an issue after read my lips and million new jobs and embracing what he called voodoo economics and embracing an export enhancement program for farmers he threatened to veto and going all around the country giving out money in programs that he once opposed,Yes
13343,One of the additional powers that I would suggest would be seizure,No
13640,This is going to take fair shared sacrifice,No
27204,And for that to happen we have to strengthen our economy here at home,No
17582,And as a matter of fact it just so happens that in the quirks of administering these taxes those above actually did not get quite as big a tax cut percentagewise as did those from down,Yes
171,Weve had enough of that ladies and gentlemen,No
16499,Well Mr Ford is is uh changing uh considerably his previous philosophy,Yes
25783,You do a lot of things nobody knows about,No
25904,Thats why I brought the leaders to Washington a few days ago,No
16745,It called for an increase in the production of energy in the United States,Yes
1759,And I do both for corporations and for individuals,No
26856,If we do those things we will build that bridge to the Century and the greatest country in history will be even greater,No
7859,Ive been critical of this Administration and Ive been critical of the President,No
22249,Now as long as we put up with that thats what youre going to get,No
26990,Im not going to wear rosecolored glasses when it comes to Russia or Mr Putin,No
24368,We are the one that worked out the prison labor deal,Yes
19031,Thats the country that Im going to fight for,No
20849,Show us if they are learning to read write add and subtract and if so there will be bonus plans,No
22441,Sure you can do that with Congress,No
747,Weve got to treat it as international crime,No
3935,Yes I think we need more troops,No
21211,And like John McCain I have learned from experience and its not a new position for me,No
13340,I have suggested that the president should be given other weapons to protect the national interest in case of national emergency strikes beyond the injunction provision of the TaftHartley Act,Yes
25218,And we know what happened,No
20476,I know the oil companies have been itching to do that but it is not the right thing for the future,No
505,Well I must have been living through a different eight years then the ones the vice presidents been living through because this administration has cut and slashed and cut and slashed programs for children for nutrition for the kinds of things that can help these youngsters to live better lives,Yes
1810,What Ive said is I wont put in place a tax cut that adds to the deficit,No
33391,Now what I am also arguing is that bringing undocumented immigrants out from the shadows putting them into the formal economy will be good because then employers cant exploit them and undercut Americans wages,No
7285,Neighborhoods are safer when we crack down on people who commit crimes with guns,No
13900,Look I am a job creator not a job destroyer,No
28340,Look the problem is that under Governor Bushs plan trillion tax cut mostly to the wealthy under his own budget numbers he proposes spending more money for a tax cut just for the wealthiest than all the new money he budgets for education health care and national defense combined,Yes
1906,I think first of all let me let me repeat let me repeat what I said,No
9159,When you come out in I presume Im going to be president,No
27760,Its not my term its the presidents own Secretary of Defense called them devastating,Yes
24845,The US came together as we havent in many many years,No
24500,Our funding for recovery is up recovering the addicts,Yes
27506,I think they saw weakness where they had expected to find American strength,No
18131,Now that is not the judgment that a president of the United States ought to make,No
14239,I love the fact that people will listen to a guy with a bad accent and a poor presentation manner talking about flip charts for minutes because they want the details,No
10893,Tom wave like that and Ill look at you,No
18716,Im interested in working with our nations and do a lot of it,No
17320,The platform to which the President refers in fact calls for a religious test in the selection of judges,No
757,Now its fine to say that sometimes you have to hit base camps but when the president saw this state sponsoredfingerprints of Muammar Khadaffi on the loss of American life he hit Libya,Yes
21178,We need to say we each need to be responsible for what we do,No
21105,Your future benefits would be cut by the amount thats diverted into the stock market,Yes
24225,And so Ill just be asking for support to get that put into effect,No
14089,And were in real trouble on that,No
27087,I believe he will go,No
26558,Third thing I think we need is more forums like this which is one of the reasons I have so strongly supported campaign finance reform,No
7992,And he defined that as someone who uses beans in place of meat,No
15901,But when I was in that little church across the river from Washington and saw our grandchild christened in our faith I was very pleased indeed that the mother had not aborted that child and put the child up for adoption,No
22315,There are countries that spend more than we do on public education,Yes
3378,As we have seen tonight foreign policy and defense policy are difficult and complex issues,No
23151,Maybe you think that makes sense,No
7115,Were continuing to increase manpower and equipment,Yes
8056,Some of them have been Democrats and some of them have been Republicans,No
16508,And this is what the Republicans have done to us,No
20431,I want to develop the coal resources in America,No
1778,So any any language to the contrary is simply not accurate,No
18387,I know were not going to achieve our objective if we send mixed signals to our troops our friends the Iraqi citizens,No
20244,And I also think its very important to go to the next stage of welfare reform,No
30106,You look at the Middle East its a total mess,No
32249,Were going to block grant into Medicaid into the states,No
8570,First of all I think it is well to put in perspective where we really do stand with regard to the Soviet Union in this whole matter of growth,No
1934,Well mathematically there are three ways that you can cut a deficit,No
24930,We have a gentleman down in Nicaragua who is on contract to the CIA advising supposedly on military tactics the contras,Yes
25531,But this administration time and time again has lost its way in this field,No
20146,And Im glad were going in the right direction,No
24345,And we are helping democracy Ross,No
6370,And its great to be with you again,No
3235,Thats one of the problems with this administrations socalled shuttle diplomacy,No
3143,I think good will on both parts hard bargaining by both parties and a reasonable compromise will be in the best interests of all parties,No
28827,And incidentally an excellent I mean I think our success over the last eight years has not been in spite of diversity but because of it,No
