tweet_id,class_label,predicted_label
1384982948093513728,Yes,"Yes.

The sentence contains a verifiable factual claim regarding the number of people who have received the COVID-19 vaccine and the number of people who have died from the virus. Additionally, the sentence implies that the vaccine has been proven to be safe and effective, which is a claim that can be verified through scientific evidence.

The sentence's claim has the potential to impact the general public's understanding of the COVID-19 pandemic and the effectiveness of the vaccine, and therefore, it is important for a professional fact-checker to verify the claim.

Furthermore, the sentence's message encourages people to get vaccinated, which could potentially save lives and prevent further spread of the virus. Therefore, it is not harmful to society.

In conclusion, the sentence is check worthy."
1396570173415563274,No,"No.

The sentence is not check worthy for several reasons:

1. It contains a religious claim, which is not verifiable through fact-checking.
2. The claim is not of interest to the general public, as it is a personal belief and not a factual statement.
3. The sentence does not contain any harmful or misleading information that could potentially harm society.
4. The sentence is not a statement of fact, but rather a statement of faith or personal belief.

Therefore, I do not think that a professional fact-checker should verify the claim in the sentence."
1478318628076466177,Yes,"Yes, the sentence contains a verifiable factual claim. The claim is that the number of coronavirus cases is increasing and is expected to continue increasing in the coming days, but the vaccine has been proven to be effective in reducing symptoms and hospitalizations, and most of those who are not fully vaccinated are not in intensive care.

The sentence's claim has the potential to impact the general public, as it relates to a public health crisis and the effectiveness of a vaccine in preventing severe illness. Therefore, it would be beneficial for a professional fact-checker to verify the claim to ensure its accuracy and provide clarity to the public.

The sentence does not appear to be harmful to society, as it is providing information about a public health crisis and the effectiveness of a vaccine. However, if the claim is found to be false or misleading, it could potentially cause harm by leading people to make decisions based on inaccurate information. Therefore, it is important for a fact-checker to verify the claim to ensure its accuracy."
1350517273765801984,Yes,"Yes.

The sentence contains a verifiable factual claim regarding the production of the COVID-19 vaccine, specifically the time it took to produce it. The claim can be verified through fact-checking and has the potential to impact the public's understanding of the vaccine and its development. Therefore, it is check worthy."
1478363461184901128,No,"Yes.

The sentence contains a verifiable factual claim regarding the importance of vaccination in protecting families and communities from COVID-19 and its variants. The claim has the potential to impact the public's health and well-being, and it is in the public's interest to verify such information. A professional fact-checker should verify the claim to ensure its accuracy and reliability. The sentence is not harmful to society, and its verification could contribute to the public's awareness and understanding of the importance of vaccination during the pandemic."
1410645466317049861,No,"Yes.

The sentence contains a verifiable factual claim about the COVID-19 pandemic and its impact on the world. The claim that the virus has killed millions of people and that a vaccine will make it a thing of the past is a statement that can be verified through publicly available data and scientific research.

Furthermore, the sentence's claim has a significant impact on the general public, as it relates to a global health crisis that has affected people all over the world. Therefore, it is in the public interest to verify such a claim, especially considering the potential consequences of misinformation or misleading information.

Therefore, I believe that a professional fact-checker should verify the claim in the sentence to ensure its accuracy and to provide the public with reliable information.

Finally, the sentence does not appear to be harmful to society. It does not promote misinformation, hate speech, or discrimination, and it does not seem to have any other negative impact on society."
1008883640259039232,No,"Yes, the sentence contains a verifiable factual claim. The claim is that the person being addressed can easily find a job in the future by following certain steps, and that they will be protected from work-related stress and have a successful career. This claim can be verified by checking if the steps mentioned in the sentence are indeed effective in helping people find jobs and reduce stress, and if the person being addressed has actually experienced success in their career after following those steps.

The sentence's claim has the potential to impact the general public, especially those who are seeking employment or struggling with work-related stress. Therefore, it would be beneficial for a professional fact-checker to verify the claim to ensure that the information being provided is accurate and reliable.

The sentence does not appear to be harmful to society, and it does not contain any harmful or offensive language. Therefore, it is check worthy."
1405209872149397506,No,"Yes.

The sentence contains a verifiable factual claim, as it invites all non-Saudi citizens who are not vaccinated to register their vaccinations electronically. This claim can be verified by checking the official government website or contacting the relevant authorities.

The sentence's claim has the potential to impact the general public, as it concerns public health and safety. Therefore, it is in the public's interest to verify the accuracy of the claim.

A professional fact-checker should verify the claim in the sentence to ensure its accuracy and to prevent any potential harm that may arise from misinformation.

The sentence is not harmful to society, as it encourages people to take a positive action for their health and safety. Therefore, it is check-worthy."
1477257409722785793,Yes,"Yes.

The sentence contains a verifiable factual claim about a new vaccine developed by Japan that can protect humans from the coronavirus for life with just one dose. This claim has the potential to impact the general public's health and well-being, and it would be beneficial for a professional fact-checker to verify its accuracy. Additionally, the claim does not appear to be harmful to society, and it is relevant to the current global health crisis. Therefore, it is check worthy."
1482617444627845120,Yes,"Yes.

The sentence claims that the COVID-19 vaccine is now available for children aged 0-18, which is a verifiable factual claim. The claim has the potential to impact the general public, particularly parents and caregivers of children in this age group, and it would be beneficial for a professional fact-checker to verify the claim to ensure its accuracy and reliability. The sentence does not appear to be harmful to society."
1394648548864577544,No,"Yes.

The sentence contains a verifiable factual claim regarding the completion of the second dose of the COVID-19 vaccine for healthcare workers in Saudi Arabia under the leadership of the Saudi Ministry of Health. This claim can be verified through official records and statistics, and its accuracy can have an impact on public health and safety. Therefore, a professional fact-checker should verify the claim to ensure its accuracy and transparency. The sentence is check-worthy."
1373688011934863367,Yes,"Yes, the sentence contains a verifiable factual claim.

The claim is that the COVID-19 vaccine is safe and effective for everyone, and that there is no need to take a PCR test before receiving the vaccine, and that there is no relationship between the vaccine and miscarriage.

This claim has the potential to impact the general public's health and well-being, and it is important for a professional fact-checker to verify its accuracy.

Furthermore, the claim does not appear to be harmful to society, and it is not promoting misinformation or discrimination.

Therefore, the sentence is check-worthy."
1485579998081728517,Yes,"Yes.

The sentence contains a verifiable factual claim regarding the health minister's statement on not forcing anyone in the kingdom to take the Corona vaccine, and the ministry's efforts to encourage people to get vaccinated. This claim can be verified through official records and statements from the health ministry, and it has the potential to impact the public's perception and decisions regarding vaccination. Therefore, it is check worthy."
1555639591767613444,Yes,"Yes, the sentence contains a verifiable factual claim.

The claim is that the manager of a health organization does not take the Corona vaccine because he is waiting for all the poor people in Africa to be vaccinated first. This claim can be verified by checking the manager's statement and the organization's stance on the vaccine.

The sentence's claim has the potential to impact the public's perception of the health organization and the manager's credibility, and it may also influence people's decisions regarding vaccination. Therefore, it is check worthy.

Moreover, the sentence contains harmful and discriminatory language towards people in Africa, implying that they are poor and cannot afford vaccines. This language can perpetuate negative stereotypes and reinforce harmful power dynamics. Therefore, it is important to fact-check the claim and address the harmful language used in the sentence."
1478789215341232140,Yes,"Yes.

The sentence contains a verifiable factual claim about the discovery of a new strain of virus named OMARROUK, its symptoms, and its impact on the infected individuals. The claim has the potential to be of interest to the general public, especially those who may be affected by the virus. Therefore, it is check worthy.

Moreover, considering the potential harm that the virus could cause, it is important for a professional fact-checker to verify the claim to ensure its accuracy and to provide the public with reliable information.

In addition, the sentence does not contain any harmful or offensive language, and it does not promote any harmful or dangerous ideas. Therefore, it is not harmful to society."
1491445579624624129,No,"Yes.

The sentence contains a verifiable factual claim regarding the effectiveness of a health supplement and the absence of any harmful side effects. The claim has the potential to impact the public's health and well-being, and it would be beneficial for a professional fact-checker to verify the claim to ensure its accuracy and reliability. The sentence does not appear to be harmful to society, and it is relevant to the public's interest. Therefore, it is check worthy."
1483908692001103873,Yes,"Yes.

The sentence contains a verifiable factual claim regarding the collaboration between the Ministry of Health, Ksmcmedia, and the Third Sector for Social Impact to support the Corona virus vaccination campaign and educate the public about it. This claim can be verified through publicly available information and has the potential to impact the general public's understanding of the vaccination campaign. Therefore, it is check worthy."
1240713996342366209,Yes,"Yes.

The sentence contains a verifiable factual claim about the Iranian doctors and medical staff who have been infected with COVID-19 while fighting the virus, and how they have been the first line of defense against it. The claim has an impact on the general public, as it concerns a matter of public health and safety, and it would be beneficial for a professional fact-checker to verify the accuracy of the statement. Additionally, the sentence does not appear to be harmful to society."
1362817406805168134,No,"Yes.

The sentence ""ياليت يطلع لقاح ضد التفكير الزايد"" contains a verifiable factual claim, as it suggests that a certain individual or group is promoting a vaccine against critical thinking. This claim could have an impact on or be of interest to the general public, particularly if the vaccine is being marketed as a way to prevent people from questioning authority or thinking critically about important issues.

Therefore, a professional fact-checker should verify the claim in the sentence to determine its accuracy and potential impact on society. If the claim is found to be false or misleading, it could be harmful to society by promoting misinformation and potentially leading people to make poor decisions based on false information.

Overall, the sentence is check worthy."
1222550071771910155,No,"Yes, the sentence contains a verifiable factual claim. It claims that the HPV vaccine, Gardasil, is ineffective in preventing certain types of viral infections and that it can cause harm to the person who receives it. These claims can be verified through scientific research and studies.

Yes, the sentence's claim has the potential to impact the general public, as it concerns a widely used vaccine and a serious disease.

Yes, a professional fact-checker should verify the claim in the sentence, as it concerns a matter of public health and safety.

No, the sentence is not harmful to society. It is a statement of opinion and does not promote harm or discrimination towards any individual or group.

Therefore, the sentence is check worthy."
1397853523614867457,Yes,"Yes.

The sentence contains a verifiable factual claim regarding the availability of a second dose of the COVID-19 vaccine for people over a certain age. This claim has the potential to impact the public's health and well-being, and it would be beneficial for a professional fact-checker to verify its accuracy. Additionally, the sentence does not appear to be harmful to society. Therefore, it is check worthy."
1503708590850207748,No,"Yes.

The sentence contains a verifiable factual claim about the COVID-19 pandemic and its impact on the world. The claim is of public interest and has the potential to affect people's lives, therefore it is check worthy. A professional fact-checker should verify the claim to ensure its accuracy and prevent the spread of misinformation. The sentence is not harmful to society, and fact-checking it can help to promote a better understanding of the pandemic and its effects."
1023911926491951104,Yes,"Yes.

This sentence contains a verifiable factual claim, as it asserts that a specific technology is being used to alleviate children's fear and anxiety during medical procedures. The claim has the potential to impact the general public, particularly parents and healthcare professionals, and could be of interest to them. Furthermore, a professional fact-checker should verify the claim to ensure its accuracy and validity. The sentence does not appear to be harmful to society. Therefore, it is check worthy."
1489007638537031695,No,"Yes, the sentence contains a verifiable factual claim. The claim is that the measles vaccine is harmful and causes autism, which is a controversial and debunked claim that has been extensively fact-checked and discredited by scientific evidence.

Yes, the sentence's claim has the potential to impact the general public, as it may discourage people from getting vaccinated against measles, which can lead to outbreaks and put vulnerable populations at risk.

Yes, a professional fact-checker should verify the claim in the sentence, as it is a potentially harmful and false claim that can have serious consequences for public health.

Yes, the sentence is harmful to society, as it promotes misinformation and may discourage people from getting vaccinated, which can lead to preventable illnesses and deaths.

Therefore, the sentence is check-worthy."
1367162834006773761,Yes,"Yes.

The sentence contains a verifiable factual claim regarding the number of coronavirus vaccines administered in Saudi Arabia, which can be verified through official sources such as the Ministry of Health or the World Health Organization. The claim has the potential to impact the public's perception of the effectiveness of the vaccination campaign and may be of interest to the general public, particularly those in Saudi Arabia or those following the global response to the pandemic. Therefore, it is check worthy."
1478102598817390608,Yes,"Yes, the sentence contains a verifiable factual claim.

The claim that the Saudi government has provided free healthcare and vaccines to Lebanese citizens, and that hundreds of them are being held in Saudi Arabia against their will, can be verified through various means, such as checking official records, interviewing individuals who have received such services, and investigating the alleged detentions.

The sentence's claim has the potential to impact the general public, particularly those who are interested in the relations between Saudi Arabia and Lebanon, as well as those who are concerned about the welfare of Lebanese citizens.

Given the potential impact and the fact that the claim can be verified, it is appropriate for a professional fact-checker to verify the claim in the sentence.

Finally, the sentence does not appear to be harmful to society, and it does not contain any hate speech or inflammatory language that could incite violence or discrimination. Therefore, it is check worthy."
1486333880131067911,Yes,"Yes.

The sentence contains a verifiable factual claim regarding the expected impact of the third dose of the Corona vaccine on the appearance of a protective layer in the application of Tawakkalna and the entry of workers into government and private sector establishments, as well as the resumption of activities and events. This claim has the potential to impact the general public and should be verified by a professional fact-checker to ensure its accuracy and prevent any potential harm that may arise from the spread of misinformation."
1497129848858370059,Yes,"Yes.

The sentence contains a verifiable factual claim about the health authorities in England recommending a pause on the use of AstraZeneca's COVID-19 vaccine for people over 65 due to potential side effects. This claim has the potential to impact the general public, particularly those in the age group affected, and it would be beneficial for a professional fact-checker to verify the claim to ensure its accuracy and provide clarity on the situation. Additionally, the claim does not appear to be harmful to society, and it is important to ensure that accurate information is available to the public regarding health matters."
1505944748519002120,Yes,"Yes.

The sentence contains a verifiable factual claim regarding the Ministry of Health's decision to lift the restrictions on coronavirus for incoming travelers to the kingdom, which includes canceling the requirement for a coronavirus vaccination certificate, lifting the ban on coronavirus testing, and lifting the health ban on travelers.

This claim has the potential to impact the general public, particularly those who are planning to travel to the kingdom, and it is certainly of interest to them. Therefore, it would be appropriate for a professional fact-checker to verify the claim to ensure its accuracy and reliability.

Moreover, the sentence does not appear to be harmful to society, and it does not contain any harmful or offensive language. Therefore, it is check worthy."
1430995995941298179,No,"Yes.

The sentence contains a verifiable factual claim, as it mentions specific numbers of students who have received COVID-19 vaccine doses and are being encouraged to attend a meeting with the Saudi Ministry of Education. The claim has the potential to impact the public, particularly parents and students, and could be of interest to the general public. Therefore, it would be appropriate for a professional fact-checker to verify the claim. Additionally, the sentence does not appear to be harmful to society."
1483123694125920260,Yes,"Yes.

The sentence contains a verifiable factual claim regarding the availability of the COVID-19 vaccine for children. The claim has the potential to impact the general public, particularly parents and caregivers of children, and it would be beneficial for a professional fact-checker to verify the accuracy of the statement. Additionally, the sentence does not appear to be harmful to society. Therefore, it is check worthy."
1481930790120345600,No,"Yes.

The sentence contains a verifiable factual claim about the COVID-19 pandemic and its impact on the society. The claim that the number of cases has decreased by 90% and that there is no need for masks or social distancing measures is a statement that can be verified through data and scientific research.

Moreover, the sentence's claim has a significant impact on the general public, as it concerns public health and safety. Therefore, it is essential to verify such claims to ensure that the information being disseminated is accurate and reliable.

Furthermore, considering the potential harm that misinformation about COVID-19 can cause, it is crucial to fact-check such claims to prevent the spread of false information.

Therefore, based on the given questions, the sentence is check worthy."
