tweet_id,class_label,predicted_label
1256120472875524096,Yes,Yes
1256154134027350019,No,Yes
1256253220239872000,Yes,Yes
1256305038139576326,No,Yes
1256487670311682048,No,Yes
1256903417789890560,No,No
1257270974405398530,No,No
1257364609910149121,Yes,Yes
1257742101812514816,No,Yes
1257967060556144640,No,Yes
1258080364276396032,Yes,Yes
1258330573241815040,No,Yes
1258351540060000257,No,Yes
1258405678428930055,Yes,Yes
1258427678308392960,Yes,Yes
1258828565346385920,No,No
1259051393048096771,Yes,Yes
1259062213152632832,Yes,Yes
1259135471453712396,Yes,Yes
1259387610746834950,Yes,Yes
1259414150498996224,No,Yes
1260088889097752577,No,Yes
1260569701593354243,No,Yes
1260821596517945344,Yes,Yes
1260945855617683456,Yes,Yes
1261065558331723779,Yes,Yes
1261239454527823873,No,Yes
1261327672229191683,Yes,Yes
1261566854897774593,Yes,Yes
1261641910722183173,No,Yes
1262093716401111041,No,Yes
1262810842665492486,No,Yes
1262849886149640192,Yes,No
1262864031922229250,Yes,No
1262952633075150849,Yes,Yes
1263038432814731265,No,Yes
1263105802723889154,No,Yes
1263111787039404035,No,No
1263748491035230208,Yes,Yes
1263749544044568578,Yes,No
1264197795969466373,Yes,Yes
1264463476933738497,No,Yes
1264503936368676865,No,No
1264931230203641856,Yes,Yes
1265203638441558016,No,Yes
1265208734076280835,No,Yes
1265278782149033984,Yes,Yes
1265409333883535361,No,Yes
1265557479829708802,No,Yes
1265677813358755840,No,Yes
1265701916450881537,No,Yes
1265748270242041856,Yes,Yes
1265933806793641984,No,No
1266051180351930369,No,Yes
1266254038816796672,Yes,Yes
1266881802804879360,Yes,Yes
1377386707331526657,No,No
1377387590827962372,Yes,Yes
1377387734671618048,Yes,Yes
1377388636614889473,Yes,No
1377502257298731011,Yes,No
1377510488825851906,Yes,Yes
1377510925129895942,No,Yes
1377512944339193862,No,Yes
1377513977857634307,No,Yes
1377548003108663296,Yes,Yes
1377549113022025730,No,Yes
1377984440681439238,Yes,Yes
1377987686254977028,No,Yes
1377992347246493699,Yes,Yes
1377994707435982851,Yes,Yes
1377998731203784707,Yes,Yes
1378045851193516036,No,Yes
1378048083918008321,Yes,Yes
1378048507207110656,Yes,Yes
1378049266934034435,Yes,Yes
1378054316301426690,No,Yes
1378874706145722370,No,Yes
1378978884515999745,Yes,No
1381653922390085635,Yes,Yes
1381654671983534081,No,No
1381658453085728768,No,Yes
1381659757690421249,Yes,Yes
1381664410704437253,Yes,Yes
1381665437012746241,No,No
1381666847574081542,No,Yes
1384194494094995468,No,Yes
1384194568229298184,No,No
1384198304867647499,No,Yes
1384200125321416714,No,Yes
1384495683303051265,No,No
1384496413267177473,Yes,Yes
1384496856248508419,Yes,Yes
1384497511583395841,Yes,Yes
1384499979897786372,Yes,Yes
1384501077589045254,No,No
1384502299427495937,Yes,Yes
1384503712777900033,No,Yes
1384503713188954115,Yes,Yes
1384504279696879619,Yes,Yes
1384506974965051399,Yes,No
1384825912269709314,Yes,Yes
1384829303393767430,No,Yes
1384830118577819648,No,No
1384830820532297729,Yes,Yes
1384831196518141953,No,No
1384835330239520771,Yes,No
1384835815914803200,No,Yes
1386258945015169036,No,Yes
1386260653363634176,Yes,Yes
1386263444576514050,Yes,Yes
1386266171167715330,Yes,Yes
1386270754044620800,Yes,No
1387176410436055054,Yes,Yes
1387177749442441216,No,Yes
1387179203783766020,No,Yes
1387530406015217664,Yes,Yes
1387535571682271233,Yes,Yes
1387539885616160772,Yes,Yes
1387663027206492163,No,Yes
1387665548595671045,No,No
1387666540955328513,Yes,No
1387668658630057987,No,No
1387675660987011072,No,No
1388149265743089667,Yes,No
1388149836042604544,Yes,No
