tweet_id,class_label,predicted_label
37436,No,"No.

The sentence does not contain a verifiable factual claim. It is a statement about someone's professional experience and the quality of the school they have worked at, which is not something that can be easily verified or disproven. Additionally, it is not a claim that would have a significant impact on or be of interest to the general public. It is a personal statement that may be relevant in a specific context, but it is not a claim that requires fact-checking."
37440,No,"No.

The sentence ""Theres no way they would give it up"" does not contain a verifiable factual claim, and its claim will not have an impact on or be of interest to the general public. Additionally, the sentence is not harmful to society, and it does not require the attention of a professional fact-checker. Therefore, it is not check-worthy."
37463,Yes,"Yes.

The sentence contains a verifiable factual claim, as it asserts that women are charged more than men for the same medical procedure. This claim has the potential to impact the public, particularly women, and could be of interest to them. A professional fact-checker should verify this claim to ensure its accuracy and to provide clarity on the issue. Additionally, the sentence does not appear to be harmful to society. Therefore, it is check worthy."
37470,No,"No.

The sentence ""As far as I'm concerned, the people have already had their say"" does not contain a verifiable factual claim. It is a subjective statement expressing the speaker's opinion on a matter of public interest, but it does not make a specific, testable claim that could be fact-checked. Additionally, it is not clear what specific issue or topic the speaker is referring to, which makes it difficult to assess the sentence's impact on or relevance to the general public. Therefore, it is not check-worthy."
37504,No,"No.

The sentence ""I am the Democratic Party right now"" does not contain a verifiable factual claim, as it is a statement of identity or affiliation rather than a claim about a specific fact or issue. Additionally, it is not clear how a professional fact-checker would go about verifying such a claim, as it is a matter of personal opinion or belief rather than a provable fact. The sentence is also not harmful to society, as it does not contain any false or misleading information that could potentially cause harm. Therefore, it is not check worthy."
37510,Yes,"Yes.

The sentence contains a verifiable factual claim regarding the number of people who have contracted COVID-19. This claim has the potential to impact the general public's understanding of the pandemic and could be of interest to them. A professional fact-checker should verify the claim to ensure its accuracy and prevent the spread of misinformation. The sentence is not harmful to society, and fact-checking it could help to promote a more informed public discourse."
37513,No,"No.

The sentence ""So don't tell me about this"" does not contain a verifiable factual claim, and it is not clear what specific topic or issue the speaker is referring to. Therefore, it is not possible to determine whether the sentence's claim has an impact on or is of interest to the general public, or whether a professional fact-checker should verify the claim. Additionally, the sentence does not appear to be harmful to society. Therefore, it is not check worthy."
37514,No,"No.

The sentence does not contain a verifiable factual claim, and it does not have the potential to impact or be of interest to the general public. Additionally, it does not contain harmful or misleading information that would require fact-checking. It's a personal statement that does not meet the criteria for fact-checking."
37519,No,"No.

The sentence ""You would have been much later Joe much later"" does not contain a verifiable factual claim, and its claim will not have an impact on or be of interest to the general public. Additionally, the sentence is not harmful to society. Therefore, it is not check worthy."
37528,No,"No.

The sentence ""And so the election is all"" does not contain a verifiable factual claim. It is a vague statement that does not provide any specific information or make any specific claim that can be verified. Additionally, it is not clear what the sentence is referring to or what its intended meaning is, which makes it difficult to determine its impact on or interest to the general public. Therefore, it is not check worthy."
