tweet_id,class_label
37436,No
37440,No
37463,Yes
37470,No
37504,No
37510,Yes
37513,No
37514,No
37519,No
37528,No
37531,No
37571,No
37589,No
37593,No
37623,No
37628,No
37630,No
37631,Yes
37643,No
37651,Yes
37664,Yes
37672,Yes
37673,Yes
37677,No
37678,No
37685,No
37702,No
37710,No
37711,No
37722,No
37724,No
37725,No
37749,Yes
37750,Yes
37753,No
37764,No
37770,No
37777,No
37778,No
37779,No
37802,Yes
37816,Yes
37817,No
37824,No
37839,No
37840,No
37875,No
37903,No
37916,No
37929,No
37945,No
37956,No
37962,No
37971,Yes
37978,No
37989,No
37994,No
38023,Yes
38075,Yes
38077,No
38099,No
38121,No
38135,Yes
38144,Yes
38156,Yes
38169,No
38179,No
38194,Yes
38197,Yes
38220,No
38221,No
38234,No
38236,No
38238,No
38247,No
38262,No
38264,No
38265,No
38284,Yes
38291,No
38294,Yes
38310,Yes
38322,Yes
38349,Yes
38359,No
38421,No
38435,No
38510,Yes
38511,No
38513,Yes
38547,No
38562,Yes
38568,No
38578,No
38597,No
38599,No
38603,No
38607,No
38618,No
38619,No
38623,No
38630,No
38639,No
38666,Yes
38671,No
38675,Yes
38687,No
38711,No
38774,No
38777,No
38786,No
38798,No
38821,No
38862,Yes
38863,No
38868,Yes
38872,No
38882,Yes
38884,Yes
38906,Yes
38913,No
38920,No
38936,No
38961,No
38979,No
38991,No
38999,No
39002,No
39018,No
39022,No
39037,No
39044,No
39048,Yes
39075,No
39086,No
39105,Yes
39120,Yes
39129,Yes
39132,Yes
39135,No
39139,No
39189,No
39198,Yes
39203,No
39216,No
39217,No
39224,No
39256,No
39296,No
39305,No
39309,No
39342,No
39353,No
39373,No
39392,No
39394,Yes
39412,Yes
39414,Yes
39421,No
39430,No
39435,No
39479,Yes
39480,Yes
39481,Yes
39492,No
39497,No
39506,No
39507,No
39508,Yes
39510,Yes
39514,Yes
39517,No
39526,No
39543,No
39550,No
39553,Yes
39560,Yes
39565,Yes
39586,No
39601,No
39615,No
39625,Yes
39627,No
39673,No
39679,Yes
39685,No
39697,Yes
39704,No
39720,No
39723,No
39735,Yes
39737,Yes
39746,No
39747,No
39775,Yes
39786,No
39788,No
39793,Yes
39794,No
39806,No
39809,No
39820,Yes
39823,Yes
39837,Yes
39839,Yes
39840,Yes
39841,Yes
39848,Yes
39850,No
39851,Yes
39856,Yes
39867,Yes
39868,Yes
39876,Yes
39886,No
39895,Yes
39902,Yes
39908,No
39910,Yes
39918,No
39938,No
39940,Yes
39973,No
39980,Yes
39994,No
40004,No
40018,No
40025,Yes
40034,Yes
40059,No
40075,No
40082,No
40111,No
40138,No
40150,Yes
40152,Yes
40153,Yes
40156,No
40163,No
40168,No
40169,No
40172,No
40173,No
40175,Yes
40212,Yes
40214,No
40218,Yes
40245,No
40252,No
40263,Yes
40271,No
40286,No
40291,No
40313,Yes
40331,No
40338,No
40342,No
40349,No
40351,No
40356,Yes
40361,No
40365,Yes
40374,No
40378,No
40416,No
40422,Yes
40439,No
40443,Yes
40455,No
40464,No
40482,No
40488,Yes
40492,No
40496,No
40532,No
40546,No
40580,Yes
40585,Yes
40594,Yes
40597,No
40642,No
40659,No
40663,No
40664,Yes
40666,No
40676,Yes
40689,No
40701,Yes
40705,No
40706,No
40724,No
40726,Yes
40734,No
40737,Yes
40741,No
40747,No
40759,Yes
40771,No
40783,No
40792,No
40799,Yes
40805,Yes
40831,Yes
40836,Yes
40844,No
40851,No
40852,No
40855,Yes
40882,Yes
40889,Yes
40916,No
40917,No
40946,No
40950,Yes
40954,No
40960,No
40971,No
40972,No
